st_cd	year	lhpi_real	lpci_real
16	2002	4.534417	2.33131
16	2003	4.558732	2.33825
16	2004	4.616355	2.398775
16	2005	4.728452	2.394104
16	2006	4.848588	2.413417
16	2007	4.867765	2.408969
16	2008	4.803015	2.394877
16	2009	4.732146	2.340351
16	2010	4.633546	2.364009
16	2011	4.517664	2.370081
17	1975	4.616844	2.258446
17	1976	4.659123	2.286478
17	1977	4.759204	2.315049
17	1978	4.824264	2.328836
17	1979	4.732751	2.298249
17	1980	4.60517	2.24485
17	1981	4.563109	2.253456
17	1982	4.461704	2.261404
17	1983	4.453737	2.271237
17	1984	4.466364	2.334404
17	1985	4.476577	2.344644
17	1986	4.524545	2.373609
17	1987	4.578485	2.378895
17	1988	4.628321	2.420215
17	1989	4.652221	2.422781
17	1990	4.650457	2.428951
17	1991	4.648481	2.410614
17	1992	4.65564	2.450808
17	1993	4.659455	2.438759
17	1994	4.681105	2.460766
17	1995	4.688037	2.475904
17	1996	4.696079	2.498045
17	1997	4.698956	2.51187
17	1998	4.710812	2.542241
17	1999	4.729434	2.547427
17	2000	4.759129	2.579339
17	2001	4.791668	2.577835
17	2002	4.835504	2.601845
17	2003	4.869277	2.624492
17	2004	4.927495	2.64645
17	2005	4.982671	2.640523
17	2006	5.018543	2.677034
17	2007	5.001785	2.686617
17	2008	4.93074	2.697476
17	2009	4.879544	2.668873
17	2010	4.818641	2.682686
17	2011	4.748509	2.67987
18	1975	4.577297	2.086483
18	1976	4.578268	2.138426
18	1977	4.623868	2.170311
18	1978	4.697028	2.187962
18	1979	4.700336	2.158539
18	1980	4.60517	2.100224
18	1981	4.555925	2.099993
18	1982	4.479692	2.079171
18	1983	4.45973	2.093688
18	1984	4.435127	2.164039
18	1985	4.437816	2.175452
18	1986	4.469707	2.206909
18	1987	4.480472	2.218416
18	1988	4.489374	2.240543
18	1989	4.48269	2.263847
18	1990	4.463912	2.258506
18	1991	4.463485	2.245824
18	1992	4.474873	2.287355
18	1993	4.481209	2.294835
18	1994	4.502726	2.322311
18	1995	4.519709	2.320882
18	1996	4.541409	2.336804
18	1997	4.555892	2.346176
18	1998	4.57876	2.387319
18	1999	4.589793	2.395884
18	2000	4.589241	2.428595
18	2001	4.61214	2.426807
18	2002	4.624426	2.440912
18	2003	4.633377	2.46933
18	2004	4.63962	2.485275
18	2005	4.646644	2.46845
18	2006	4.642603	2.491692
18	2007	4.625299	2.482984
18	2008	4.586248	2.4895
18	2009	4.584514	2.472394
18	2010	4.552782	2.482267
18	2011	4.512284	2.493463
19	1975	4.574262	2.13719
19	1976	4.629517	2.124836
19	1977	4.677993	2.154796
19	1978	4.722929	2.213337
19	1979	4.71239	2.165007
19	1980	4.60517	2.117099
19	1981	4.433349	2.126141
19	1982	4.328943	2.077943
19	1983	4.358691	2.090901
19	1984	4.335346	2.175524
19	1985	4.319964	2.180426
19	1986	4.323503	2.215335
19	1987	4.303547	2.231809
19	1988	4.275595	2.208395
19	1989	4.283012	2.244839
19	1990	4.29291	2.253806
19	1991	4.311629	2.250024
19	1992	4.319547	2.279691
19	1993	4.338374	2.240044
19	1994	4.377093	2.297503
19	1995	4.406621	2.302844
19	1996	4.419162	2.352027
19	1997	4.435688	2.362789
19	1998	4.464457	2.391226
19	1999	4.475626	2.385974
19	2000	4.475247	2.415209
19	2001	4.489163	2.40312
19	2002	4.507837	2.436315
19	2003	4.526465	2.446534
19	2004	4.543332	2.494347
19	2005	4.564556	2.477428
19	2006	4.575553	2.500854
19	2007	4.572586	2.528352
19	2008	4.542513	2.563349
19	2009	4.54884	2.552111
19	2010	4.525401	2.557888
19	2011	4.489902	2.599394
20	1975	4.567791	2.157279
20	1976	4.60441	2.182299
20	1977	4.654016	2.188622
20	1978	4.692966	2.2083
20	1979	4.659062	2.193697
20	1980	4.60517	2.153621
20	1981	4.53249	2.18381
20	1982	4.502577	2.213684
20	1983	4.469865	2.212234
20	1984	4.43782	2.271549
20	1985	4.42379	2.286089
20	1986	4.450599	2.329118
20	1987	4.43612	2.321497
20	1988	4.407635	2.324415
20	1989	4.3853	2.329951
20	1990	4.351791	2.357401
20	1991	4.321615	2.352499
20	1992	4.325654	2.392331
20	1993	4.327576	2.394475
20	1994	4.367514	2.411883
20	1995	4.392251	2.407711
20	1996	4.39583	2.422585
20	1997	4.408663	2.440253
20	1998	4.444823	2.488049
20	1999	4.480475	2.503237
20	2000	4.490397	2.522621
20	2001	4.509981	2.535945
20	2002	4.542264	2.547636
20	2003	4.558595	2.577409
20	2004	4.580679	2.593012
20	2005	4.599546	2.594406
20	2006	4.605685	2.636732
20	2007	4.610865	2.659714
20	2008	4.578144	2.705928
20	2009	4.577774	2.664221
20	2010	4.546781	2.65551
20	2011	4.496904	2.668095
21	1975	4.636617	1.937899
21	1976	4.620991	1.980358
21	1977	4.633171	2.011968
21	1978	4.697713	2.041724
21	1979	4.686208	2.026942
21	1980	4.60517	1.970324
21	1981	4.560314	1.987683
21	1982	4.521885	2.002658
21	1983	4.496804	1.984139
21	1984	4.481541	2.06747
21	1985	4.479487	2.074167
21	1986	4.515977	2.091585
21	1987	4.528938	2.101649
21	1988	4.541165	2.150517
21	1989	4.552383	2.177716
21	1990	4.54473	2.195705
21	1991	4.537149	2.211536
21	1992	4.549479	2.248972
21	1993	4.557278	2.242769
21	1994	4.592753	2.259737
21	1995	4.616249	2.264088
21	1996	4.618248	2.271048
21	1997	4.634126	2.288897
21	1998	4.664823	2.331018
21	1999	4.692276	2.351114
21	2000	4.694757	2.388911
21	2001	4.709605	2.378425
21	2002	4.732201	2.403569
21	2003	4.751083	2.412876
21	2004	4.776762	2.439726
21	2005	4.80093	2.443099
21	2006	4.808356	2.470397
21	2007	4.810508	2.480036
21	2008	4.78526	2.490873
21	2009	4.781188	2.490031
21	2010	4.749731	2.490957
21	2011	4.702175	2.488557
22	1975	4.406208	1.923924
22	1976	4.444396	1.970687
22	1977	4.466637	2.000886
