msa_cd	year	lhpi_real	lpci_real
11500	1999	4.551049	2.316999
11500	2000	4.538046	2.317798
11500	2001	4.576223	2.325619
11500	2002	4.606752	2.359566
11500	2003	4.635471	2.391206
11500	2004	4.654409	2.434556
11500	2005	4.679453	2.439018
11500	2006	4.719695	2.462864
11500	2007	4.735603	2.494444
11500	2008	4.716193	2.505648
11500	2009	4.754278	2.485514
11500	2010	4.691876	2.496964
11500	2011	4.630233	2.501092
11540	1975	4.765922	2.214398
11540	1976	4.751697	2.270138
11540	1977	4.754529	2.305102
11540	1978	4.749768	2.322947
11540	1979	4.693861	2.333402
11540	1980	4.60517	2.274803
11540	1981	4.536376	2.248796
11540	1982	4.513063	2.242744
11540	1983	4.503922	2.25589
11540	1984	4.505129	2.318546
11540	1985	4.516459	2.345328
11540	1986	4.537033	2.397377
11540	1987	4.531553	2.40934
11540	1988	4.518895	2.413972
11540	1989	4.508931	2.442854
11540	1990	4.512616	2.442782
11540	1991	4.499256	2.438651
11540	1992	4.502781	2.480429
11540	1993	4.512252	2.478086
11540	1994	4.546587	2.500485
11540	1995	4.568993	2.512621
11540	1996	4.581753	2.536774
11540	1997	4.595621	2.552986
11540	1998	4.611197	2.589385
11540	1999	4.629893	2.630325
11540	2000	4.650661	2.658843
11540	2001	4.679525	2.668825
11540	2002	4.706125	2.675113
11540	2003	4.722835	2.686919
11540	2004	4.755862	2.711736
11540	2005	4.775622	2.711538
11540	2006	4.770753	2.731468
11540	2007	4.763014	2.740503
11540	2008	4.711805	2.718917
11540	2009	4.699059	2.676697
11540	2010	4.649705	2.678163
11540	2011	4.594718	2.696184
11700	1975	4.814093	2.267643
11700	1976	4.785769	2.273311
11700	1977	4.777741	2.265869
11700	1978	4.771426	2.244941
11700	1979	4.714953	2.169444
11700	1980	4.60517	2.101448
11700	1981	4.525415	2.076907
11700	1982	4.490566	2.051226
11700	1983	4.49854	2.10309
11700	1984	4.495888	2.141753
11700	1985	4.557231	2.155001
11700	1986	4.575326	2.184847
11700	1987	4.601393	2.204762
11700	1988	4.586687	2.226723
11700	1989	4.560999	2.245784
11700	1990	4.553017	2.228518
11700	1991	4.530074	2.215077
11700	1992	4.539969	2.233022
11700	1993	4.534392	2.240309
11700	1994	4.544273	2.245584
11700	1995	4.56769	2.264047
11700	1996	4.585762	2.268259
11700	1997	4.617595	2.289559
11700	1998	4.673037	2.330955
11700	1999	4.701553	2.338141
11700	2000	4.72848	2.354717
11700	2001	4.770225	2.334515
11700	2002	4.799615	2.31083
11700	2003	4.826116	2.286045
11700	2004	4.863568	2.320476
11700	2005	4.923687	2.324053
11700	2006	4.994266	2.344946
11700	2007	5.041151	2.359835
11700	2008	5.007102	2.345055
11700	2009	4.983275	2.285104
11700	2010	4.914273	2.278159
11700	2011	4.841482	2.280876
12020	1975	4.596487	1.921762
12020	1976	4.61075	2.006523
12020	1977	4.638522	2.041908
12020	1978	4.670955	2.078007
12020	1979	4.671902	2.070336
12020	1980	4.60517	1.993339
12020	1981	4.53298	1.989093
12020	1982	4.502969	1.996741
12020	1983	4.49932	2.049904
12020	1984	4.497329	2.089791
12020	1985	4.544346	2.110807
12020	1986	4.541311	2.164789
12020	1987	4.529977	2.171525
12020	1988	4.5376	2.214461
12020	1989	4.525274	2.245819
12020	1990	4.498682	2.255714
12020	1991	4.491299	2.243309
12020	1992	4.498284	2.260197
12020	1993	4.490129	2.26835
12020	1994	4.507126	2.284357
12020	1995	4.531713	2.312696
12020	1996	4.544617	2.336683
12020	1997	4.57561	2.34816
12020	1998	4.611181	2.38191
12020	1999	4.64536	2.38652
12020	2000	4.668408	2.388227
12020	2001	4.703143	2.395656
12020	2002	4.745266	2.395066
12020	2003	4.769568	2.404851
12020	2004	4.814292	2.417432
12020	2005	4.82202	2.451072
12020	2006	4.835717	2.462087
12020	2007	4.840528	2.473346
12020	2008	4.815465	2.490034
12020	2009	4.812836	2.4781
12020	2010	4.76156	2.47936
12020	2011	4.647419	2.486629
12060	1975	4.688432	2.199806
12060	1976	4.630487	2.249484
12060	1977	4.614709	2.290226
12060	1978	4.617726	2.331242
12060	1979	4.621951	2.328492
12060	1980	4.60517	2.306776
12060	1981	4.56067	2.290415
12060	1982	4.557942	2.290199
12060	1983	4.557925	2.333074
12060	1984	4.576644	2.404446
12060	1985	4.586369	2.437791
12060	1986	4.627327	2.470422
12060	1987	4.646079	2.485784
12060	1988	4.652053	2.517951
12060	1989	4.625491	2.519212
12060	1990	4.583025	2.527228
12060	1991	4.559889	2.515893
12060	1992	4.565358	2.553369
12060	1993	4.556211	2.558014
12060	1994	4.552634	2.584063
12060	1995	4.56105	2.609672
12060	1996	4.572378	2.636775
12060	1997	4.598836	2.661628
12060	1998	4.647651	2.708513
12060	1999	4.690448	2.72969
12060	2000	4.719686	2.766613
12060	2001	4.761135	2.749995
12060	2002	4.795136	2.736433
12060	2003	4.815309	2.731798
12060	2004	4.841118	2.753195
12060	2005	4.858437	2.773761
12060	2006	4.864939	2.786599
12060	2007	4.854887	2.786474
12060	2008	4.79417	2.748588
12060	2009	4.765347	2.706879
12060	2010	4.675808	2.711577
12060	2011	4.572147	2.724626
12100	1975	4.225277	2.234949
12100	1976	4.263441	2.287948
12100	1977	4.372072	2.333468
12100	1978	4.508461	2.392703
12100	1979	4.609514	2.454537
12100	1980	4.60517	2.492213
12100	1981	4.572058	2.533062
12100	1982	4.54925	2.542626
12100	1983	4.565068	2.569956
12100	1984	4.536366	2.626167
