"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Markieff Morris",TRUE,"27:37",10,16,0.625,2,3,0.667,1,1,1,3,4,7,3,0,2,0,1,23,18,"2017-12-01_DET_at_WAS","WAS"
"Tim Frazier",TRUE,"23:39",3,5,0.6,0,1,0,0,0,NA,0,5,5,6,2,0,1,2,6,16,"2017-12-01_DET_at_WAS","WAS"
"Kelly Oubre",FALSE,"23:32",2,10,0.2,1,3,0.333,3,3,1,0,7,7,2,0,0,1,3,8,-4,"2017-12-01_DET_at_WAS","WAS"
"Tomas Satoransky",FALSE,"23:01",5,6,0.833,2,2,1,5,5,1,2,2,4,4,1,0,0,0,17,14,"2017-12-01_DET_at_WAS","WAS"
"Ian Mahinmi",FALSE,"14:40",2,4,0.5,0,0,NA,2,2,1,3,2,5,0,0,1,0,3,6,-4,"2017-12-01_DET_at_WAS","WAS"
"Jodie Meeks",FALSE,"14:06",2,4,0.5,1,1,1,1,1,1,0,1,1,0,0,0,0,2,6,2,"2017-12-01_DET_at_WAS","WAS"
"Mike Scott",FALSE,"14:06",1,7,0.143,0,3,0,0,0,NA,2,1,3,2,1,0,1,3,2,1,"2017-12-01_DET_at_WAS","WAS"
"Chris McCullough",FALSE,"2:18",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,0,"2017-12-01_DET_at_WAS","WAS"
"Jason Smith",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-01_DET_at_WAS","WAS"
"Otto Porter",TRUE,"28:19",6,13,0.462,2,2,1,0,0,NA,1,5,6,1,0,0,0,0,14,-21,"2017-12-04_WAS_at_UTA","WAS"
"Bradley Beal",TRUE,"27:47",4,15,0.267,0,4,0,3,5,0.6,0,1,1,1,0,0,1,2,11,-19,"2017-12-04_WAS_at_UTA","WAS"
"Marcin Gortat",TRUE,"23:41",0,4,0,0,0,NA,0,0,NA,2,5,7,3,4,0,2,1,0,-17,"2017-12-04_WAS_at_UTA","WAS"
"Markieff Morris",TRUE,"22:29",4,9,0.444,1,2,0.5,2,2,1,1,0,1,0,0,2,2,5,11,-5,"2017-12-04_WAS_at_UTA","WAS"
"Tim Frazier",TRUE,"19:49",1,1,1,1,1,1,2,2,1,0,0,0,1,1,0,2,1,5,-8,"2017-12-04_WAS_at_UTA","WAS"
"Kelly Oubre",FALSE,"27:47",2,8,0.25,0,3,0,7,8,0.875,0,1,1,0,0,0,2,2,11,-42,"2017-12-04_WAS_at_UTA","WAS"
"Tomas Satoransky",FALSE,"24:03",2,6,0.333,0,1,0,4,4,1,0,2,2,1,1,0,1,0,8,-32,"2017-12-04_WAS_at_UTA","WAS"
"Jodie Meeks",FALSE,"22:05",2,9,0.222,0,3,0,0,0,NA,1,1,2,1,0,0,1,2,4,-35,"2017-12-04_WAS_at_UTA","WAS"
"Mike Scott",FALSE,"19:42",0,4,0,0,2,0,0,0,NA,1,0,1,1,1,0,0,3,0,-26,"2017-12-04_WAS_at_UTA","WAS"
"Ian Mahinmi",FALSE,"10:01",1,1,1,0,0,NA,0,0,NA,3,0,3,0,0,0,2,2,2,-16,"2017-12-04_WAS_at_UTA","WAS"
"Chris McCullough",FALSE,"9:22",1,7,0.143,0,2,0,1,2,0.5,1,4,5,0,0,0,0,1,3,-9,"2017-12-04_WAS_at_UTA","WAS"
"Jason Smith",FALSE,"4:56",0,3,0,0,0,NA,0,0,NA,2,0,2,0,1,0,0,2,0,-5,"2017-12-04_WAS_at_UTA","WAS"
"Bradley Beal",TRUE,"43:05",21,37,0.568,5,12,0.417,4,5,0.8,1,2,3,2,0,0,2,2,51,12,"2017-12-05_WAS_at_POR","WAS"
