"season.num","season","team","wins","win.pct","season.rank","year","diff.wins.prev","diff.pct.prev"
37,"2012-13","DEN",57,0.695121951219512,4,2013,19,0.207317073170732
38,"2013-14","DEN",36,0.439024390243902,20,2014,-21,-0.368421052631579
39,"2014-15","DEN",30,0.365853658536585,24,2015,-6,-0.166666666666667
40,"2015-16","DEN",33,0.402439024390244,21,2016,3,0.1
1,"1976-77","DET",44,0.536585365853659,8,1977,NA,NA
2,"1977-78","DET",38,0.463414634146341,16,1978,-6,-0.136363636363636
3,"1978-79","DET",30,0.365853658536585,19,1979,-8,-0.210526315789474
4,"1979-80","DET",16,0.195121951219512,22,1980,-14,-0.466666666666667
5,"1980-81","DET",21,0.25609756097561,22,1981,5,0.3125
6,"1981-82","DET",39,0.475609756097561,15,1982,18,0.857142857142857
7,"1982-83","DET",37,0.451219512195122,16,1983,-2,-0.0512820512820512
8,"1983-84","DET",49,0.597560975609756,5,1984,12,0.324324324324324
9,"1984-85","DET",46,0.560975609756098,7,1985,-3,-0.0612244897959182
10,"1985-86","DET",46,0.560975609756098,8,1986,0,0
11,"1986-87","DET",52,0.634146341463415,5,1987,6,0.130434782608696
12,"1987-88","DET",54,0.658536585365854,3,1988,2,0.0384615384615385
13,"1988-89","DET",63,0.768292682926829,1,1989,9,0.166666666666667
14,"1989-90","DET",59,0.719512195121951,2,1990,-4,-0.0634920634920635
15,"1990-91","DET",50,0.609756097560976,9,1991,-9,-0.152542372881356
16,"1991-92","DET",48,0.585365853658537,9,1992,-2,-0.04
17,"1992-93","DET",40,0.48780487804878,17,1993,-8,-0.166666666666667
18,"1993-94","DET",20,0.24390243902439,24,1994,-20,-0.5
19,"1994-95","DET",28,0.341463414634146,22,1995,8,0.4
20,"1995-96","DET",46,0.560975609756098,11,1996,18,0.642857142857143
21,"1996-97","DET",54,0.658536585365854,9,1997,8,0.173913043478261
22,"1997-98","DET",37,0.451219512195122,19,1998,-17,-0.314814814814815
23,"1998-99","DET",29,0.58,10,1999,-8,0.285405405405405
24,"1999-00","DET",42,0.51219512195122,15,2000,13,-0.11690496215307
25,"2000-01","DET",32,0.390243902439024,21,2001,-10,-0.238095238095238
26,"2001-02","DET",50,0.609756097560976,6,2002,18,0.5625
27,"2002-03","DET",50,0.609756097560976,5,2003,0,0
28,"2003-04","DET",54,0.658536585365854,6,2004,4,0.0800000000000001
29,"2004-05","DET",54,0.658536585365854,5,2005,0,0
30,"2005-06","DET",64,0.780487804878049,1,2006,10,0.185185185185185
31,"2006-07","DET",53,0.646341463414634,4,2007,-11,-0.171875
32,"2007-08","DET",59,0.719512195121951,2,2008,6,0.113207547169811
33,"2008-09","DET",39,0.475609756097561,17,2009,-20,-0.338983050847458
34,"2009-10","DET",27,0.329268292682927,24,2010,-12,-0.307692307692308
35,"2010-11","DET",30,0.365853658536585,24,2011,3,0.111111111111111
36,"2011-12","DET",25,0.378787878787879,22,2012,-5,0.0353535353535354
37,"2012-13","DET",29,0.353658536585366,23,2013,4,-0.0663414634146342
38,"2013-14","DET",29,0.353658536585366,23,2014,0,0
39,"2014-15","DET",32,0.390243902439024,23,2015,3,0.103448275862069
40,"2015-16","DET",44,0.536585365853659,12,2016,12,0.375
1,"1976-77","GSW",46,0.560975609756098,7,1977,NA,NA
2,"1977-78","GSW",43,0.524390243902439,10,1978,-3,-0.0652173913043479
3,"1978-79","GSW",38,0.463414634146341,13,1979,-5,-0.116279069767442
4,"1979-80","GSW",24,0.292682926829268,20,1980,-14,-0.368421052631579
5,"1980-81","GSW",39,0.475609756097561,13,1981,15,0.625
6,"1981-82","GSW",45,0.548780487804878,10,1982,6,0.153846153846154
7,"1982-83","GSW",30,0.365853658536585,17,1983,-15,-0.333333333333333
8,"1983-84","GSW",37,0.451219512195122,16,1984,7,0.233333333333333
9,"1984-85","GSW",22,0.268292682926829,22,1985,-15,-0.405405405405405
10,"1985-86","GSW",30,0.365853658536585,19,1986,8,0.363636363636364
11,"1986-87","GSW",42,0.51219512195122,10,1987,12,0.4
12,"1987-88","GSW",20,0.24390243902439,21,1988,-22,-0.523809523809524
13,"1988-89","GSW",43,0.524390243902439,14,1989,23,1.15
14,"1989-90","GSW",37,0.451219512195122,19,1990,-6,-0.13953488372093
15,"1990-91","GSW",44,0.536585365853659,11,1991,7,0.189189189189189
16,"1991-92","GSW",55,0.670731707317073,4,1992,11,0.25
17,"1992-93","GSW",34,0.414634146341463,21,1993,-21,-0.381818181818182
